Cr.,PSl.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
dȑšćē / dr̠šćē (Infinitiv dr̠.htati ‘zittern’) — oder ursl. *dru̠xutjeti > 12 *druxu̠tjeti > 25 *drъxъ̠tjetь > 27 *drxъ̠tjetь > 33 *drxъ̠t´ētь > 37 *dr̠xъt´ētь > 39 *dr̠xьt´ētь (weiter wie oben),*druxutjeti,,,,,,,,,,,,*druxu̠tjeti,,,,,,,,,,,,,*drъxъ̠tjetь,,*drxъ̠tjetь,,,*dr̠xъtjetь,,,*drxъ̠t´ētь,,,,*dr̠xъt´ētь,,*dr̠xьt´ētь,,,,,,,,,,*dr̠xt´ēt,,"*dr̠št´ēt, daraus durch irregulären Abfall des -t: *dr̠št´ē",,,,,,,,,,,,,,,,,,,,dr̠šćē (Infinitiv dr̠.htati ‘zittern’) — oder ursl. *dru̠xutjeti > 12 *druxu̠tjeti > 25 *drъxъ̠tjetь > 27 *drxъ̠tjetь > 33 *drxъ̠t´ētь > 37 *dr̠xъt´ētь > 39 *dr̠xьt´ētь (weiter wie oben)
dȕg / du̠g ‘lang’,*di̠l˙gu,,,,,,,,,,,,,,,,,,,,,,,,,*di̠l˙gъ,,*d̠l˙gъ,,,,,,,,,,,,*d̠l˙gь,,,,*dl̠gь,,,,,,*dl̠g,,,,,,,,,,,,,du̠g ‘lang’,,,,,,,,,
dùžnīk / du̠.žnīk,*dildžine̠jku,,,*dildžinī̠ku,,,,,,,,,*dildžinī̠ku̠,,,,,,*dilžinī̠ku̠,,,,,,,*dьlžьnī̠kъ̠,,*dlžьnīkъ̠,,,,,,,,,,*dlžьnī̠·kъ,,*dlžьnī̠·kь,,*dlžьnī̠·kь,,,,,,,,*dlžnī̠·k,,,,,,,,,,,,,*dužnī̠·k,,,,,,*dužnī̠k,du̠.žnīk,,
"dial. dv`ìzati / dvi̠zati (s. Čale Držić 910; Šimunović Rječnik 134: dv`ìzot), standardkr. di̠zati",*dwe̠j˙gā˙tēj,*dwe̠j˙d´ā˙tēj,*dwe̠j˙d´ē˙tēj,*dwī̠˙d´ē˙tī̠,*dwī̠˙d´ā˙tī,,*dβī̠˙d´ā˙tī,,,,,,,,,,*dβī̠˙dzā˙tī,,,,,,,,,,,,,,,*dβī̠˙dzā˙ti,,,,*dβī̠˙zā˙ti,,,,,,,,*dβi̠zati,,,,,,,,,,,,,,,,,,,,,,,,,,,"dial. dvi̠zati (s. Čale Držić 910; Šimunović Rječnik 134: dv`ìzot), standardkr. di̠zati",
 / glā̠.va,*gal˙wā̠˙,,,,,,*gal˙βā̠˙,,,,,*galβā̠˙,,,,,,,,,*glāβā̠˙,,,,,,,,,,,*glāβa̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*glā̠.βa,glā̠.va,
 / glā̠vu,*gal˙wān,,,,,,*gal˙βān,,,,,*galβān,,,,,,,,,*glāβān,,*glāβan,*glāβon,,,,,*glāβō˛,,*glā̠βō˛,*glā̠βo˛,,,,,,,,,,,,,,,,,*glā̠βu,,,,,,,,,,,,,,,,,,,,,,glā̠vu,
"gȍvōr / go̠vōr, G sg. go̠vora",*gawaru,,,,,,*gaβaru,,,,,,,,,,,,,,,,,*goβoru,,*goβorъ,,,,*goβōrъ,*go̠βōrъ,,,,,,,,,*go̠βōrь,,,,,,,,,,*go̠βōr,,,,,,,,,,,,,,,,,,,,,"go̠vōr, G sg. go̠vora",
grâd / grā̠d,*gardu,,,,,,,,,,,,,,,,,,,,*grādu,,,,,*grādъ,,,,,*grā̠dъ,,,,,,,,,*grā̠dь,,,,,,,,,,grā̠d,,,,,,,,,,,,,,,,,,,,,,
grȉjati / gri̠jati,*grē̠˙jā˙tēj,,*grē̠˙jē˙tēj,*grē̠˙jē˙tī,*grē̠˙jā˙tī,,,,,,,,,,,,,,,,,,,,*grě̠˙jā˙tī,,,,,,,*grě̠˙jā˙ti,,,,,,,,,,,,*grě̠jati,,,,,,,,,,,,,,,gri̠jati,,,,,,,,,,,,,
"gȑlo / gr̠lo, G sg. gr̠la",*gu̠r˙dla,,,,,,,,,,,,,,,,,,,*gu̠r˙la,,,,*gu̠r˙lo,,*gъ̠r˙lo,,*gr̠˙lo,,,,,,,,,,,,,,,,"gr̠lo, G sg. gr̠la",,,,,,,,,,,,,,,,,,,,,,,,,,,,
