Ru.,PSl.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,cf,loanwords
кo̠лем / ko̠lʼɪm,*ka̠ljemu,,,,,,,,,,,*kalje̠mu,,,,,,,*kalˊje̠mu,,,,,kolˊje̠mu,,,,*kolˊje̠mъ,,*kolˊē̠mъ,,,,,*kolˊē̠mъ1,*ko̠lˊēmъ1,,,,,,,,,*kô̠lˊēmъ1,,,,*kô̠lˊēm,,,*kô̠lʼēm,,,,,,,,,,,,,,*kô̠lʼem,,*kô̠lʼɪm,,,,ko̠lʼɪm,vgl. колo̠ть,
кo̠лоб / ko̠ləp,*kalbu,,,,,,,,,,,,,,,,,,,,,,*kalabu,*kolobu,,,,*kolobъ,,,,,,,*kolobъ1,,,,,,,,,,,,,,*kolob,,,,,*ko̠lob,,,*ko̠lop,,,,,,,,,,,ko̠ləp,,,,,,"Aus dem Slavischen entlehnt ist lüd. kolb, das entweder das zweite Segment der Pleophonie verloren hat oder der hier vorgeschlagenen relativen Chronologie widerspricht (s. § 23)."
колокo̠лка / kəlʌko̠lkə,*ka̠lkalukā˙,,,,,,,,,,,*kalka̠lukā˙,*kalka̠lukā,,,,,,,,,,*kalaka̠lukā,*koloko̠lukā,,,,*koloko̠lъkā,*koloko̠lъka,,,,,,*koloko̠lъ1ka,,,,,,,,,,*kolokô̠lъ1ka,,,,*kolokô̠lka,,,,,,,,,,,,,,,,,,,*kəlʌkô̠lkə,,,,kəlʌko̠lkə,,Vor § 22 und vor § 23 entlehnt ist weps. kau̯kal.
колo̠ть / kʌlo̠tʼ,*ka̠l˙tēj,,,*ka̠l˙tẹ̄,,,*ka̠l˙tī,,,,,,,,,,,,,,,,*kala̠tī,*kolo̠tī,,,,,*kolo̠ti,,,*kolo̠tʼi,,,,,,,,,,,,,*kolô̠tʼi,,,,,,,,,,,,,,,,,,,,,,,*kʌlô̠tʼi,,,,*kʌlo̠tʼi,vgl. кo̠лем,
колo̠ша / kʌlo̠ṡə,*ka̠lsjā˙,,*ka̠lsjē˙,,*ka̠lsjā˙,,,,,,,*kalsjā̠˙,,,,,,,*kalšjā̠˙,,,,*kalašjā̠˙,*kološjā̠˙,,,,,*kološja̠,*kološā̠,,,,,,*kolo̠šā,,,,,,,,,*kolô̠šā,,,,,,,,,,,,,*kolô̠ṡā,,,,,,,,*kolô̠ṡa,,*kʌlô̠ṡə,,,,kʌlo̠ṡə,,Vor § 22 und § 23 entlehnt ist finn. kalsu.
комa̠р / kʌma̠r,*kamā̠ru,,,,,,,,,,,*kamāru̠,,,,,,,,,,,,*komāru̠,,,,*komārъ̠,,,,,,,*komārъ̠1,,*komā̠rъ1,,,,,,,,,,,,*komā̠r,,,,,,,,,,,,,,,,,*koma̠r,,kʌma̠r,,,,,vgl. mit anderem Ablaut шмe̠ль,
кo̠нь / ko̠nʼ,*ka̠nju,,*ka̠nji,,,,,,,,,*kanji̠,,,,,,,*kańji̠,,,,,*końji̠,,,,*końjь̠,,*końь̠,,,,,*końь̠1,,*ko̠ńь1,,,,,,,,*kô̠ńь1,,,,*kô̠ń,,,*kô̠nʼ,,,,,,,,,,,,,,,,,,,,ko̠nʼ,,
кo̠роб / ko̠rəp,*karbu,,,,,,,,,,,,,,,,,,,,,,*karabu,*korobu,,,,*korobъ,,,,,,,*korobъ1,,,,,,,,,,,,,,*korob,,,,,*ko̠rob,,,*ko̠rop,,,,,,,,,,,ko̠rəp,,,,,,Nach § 22 und vielleicht vor § 27 entlehnt ist ol. korobu.
коробья̠ / kərʌbʼja̠,*karbi̠jā˙,,,,,,,,,,,*karbijā̠˙,,,,,,,,,,,*karabijā̠˙,*korobijā̠˙,,,,*korobьjā̠˙,*korobьja̠,,,*korobʼьja̠,,,*korobʼь1ja̠,,,,,,,,,,,,,,*korobʼja̠,,,,,,,,,,,,,,,,,,,kərʌbʼja̠,,,,,vgl. кo̠роб,Vor § 22 und § 23 entlehnt ist finn. karpio.
корo̠ва / kʌro̠və,*ka̠r˙wā˙,,,,,,,,,,,,ka̠r˙wā,,,,,,,,,,*kara̠wā,*koro̠wā,,,,,*koro̠wa,,,,,,,,,,,,,,,,*korô̠wa,,,,,,,,,,,*korô̠va,,,,,,,,,,,,*kʌrô̠və,,,,kʌro̠və,,
корo̠ль / kʌro̠lʼ,*ka̠rlju,,*ka̠rlji,,,,,,,,,*karlji̠,,,,,,,*karlˊji̠,,,,*karalˊji̠,*korolˊji̠,,,,*korolˊjь̠,,*korolˊь̠,,,,,*korolˊь̠1,,*koro̠lˊь1,,,,,,,,*korô̠lˊь1,,,,*korô̠lˊ,,,*korô̠lʼ,,,,,,,,,,,,,,,,*kʌrô̠lʼ,,,,kʌro̠lʼ,,
корo̠ста / kʌro̠stə,*ka̠r˙stā˙,,,,,,,,,,,,*ka̠r˙stā,,,,,,,,,,*kara̠stā,*koro̠stā,,,,,*koro̠sta,,,,,,,,,,,,,,,,*korô̠sta,,,,,,,,,,,,,,,,,,,,,,,*kʌrô̠stə,,,,kʌro̠stə,,Vor § 22 ins Finnische entlehnt ist finn. karsta.
коры̠то (1) / kʌry̠tə,*karū̠˙ta,,,,,,,,,,,,,,,,,*karȳ̠˙ta,,,,,,*korȳ̠˙to,,,,,,,,,,,,,,*korȳ̠to,,,,,,,,,,,,,,,,,,,,,,,,,,,,*kory̠to,,kʌry̠tə,,,,,,
коры̠то (2) / kʌry̠tə,*ka̠rū˙ta,,,,,,,,,,,*karū̠˙ta,,,,,,*karȳ̠˙ta,,,,,,*korȳ̠˙to,,,,,,,,,,,,,,*korȳ̠to,,,,,,,,,,,,,,,,,,,,,,,,,,,,*kory̠to,,kʌry̠tə,,,,,,
котцa̠ / kʌtca̠,*kati̠kā,*kati̠tˊā,*kati̠tˊē,,*kati̠tˊā,,,,,,,*katitˊā̠,,*katicʼā̠,,,,,,,,,,*koticʼā̠,,,,*kotьcʼā̠,*kotьcʼa̠,,,kotʼьcʼa̠,,,*kotʼь1cʼa̠,,,,,,,,,,,,,,*kotʼcʼa̠,,,,,,,,,,,,*kotʼca̠,*kotca̠,,,,,,kʌtca̠,,,,,,"Nach § 1 und möglicherweise auch nach § 13, aber vor § 23 und § 48 entlehnt ist finn. katitsa."
крa̠й / kra̠j,*krā̠˙ju,,*krā̠˙ji,,,,,,,,,,,,,,,,,,,,,,,,,*krā̠˙jь,,,,,,,*krā̠˙jь1,,,*krā̠jь1,,,,,,,,,,,*krā̠j,,,,,,,,,,,,,,,,,kra̠j,,,,,,,,
крa̠сный / kra̠snəj,*krā̠sinuju,,*krā̠sinuji,,,,,,,,,*krāsi̠nuji,,,,,,,,,,,,,,,,*krāsь̠nъjь,,,,*krāsʼь̠nъjь,,,*krāsʼь̠1nъ2jь1,,*krā̠sʼь1nъ2jь1,,,,,,,,,,,,*krā̠sʼnъ2j,,,,*krā̠sʼnoj,,,,,,,,,*krā̠snoj,,,,*kra̠snoj,,kra̠snəj,,,,,,
крo̠вь / kro̠fʼ,*kruwi,,,,,,,,,,,,,,,,,,,,,,,,,,,*krъwь,,,,*krъwʼь,,,*krъ2wʼь1,,,,,,,,,,,,,,*krъ2wʼ,,,,*krowʼ,*kro̠wʼ,,*kro̠vʼ,kro̠fʼ,,,,,,,,,,,,,,,,,
ктo̠ / kto̠,*kuta,,,,,,,,,,,,,,,,,,,,,,,*kuto,,,,*kъto,,,,,,,*kъ1to,,,,,,,,,,,,,,*kto,,,,,kto̠,,,,,,,,,,,,,,,,,,,vgl. чтo̠,
лa̠нь / la̠nʼ,*a̠l˙ni,,,,,,,,,,*lā̠˙ni,,,,,,,,,,,,,,,,,*lā̠˙nь,,,,*lā̠˙nʼь,,,*lā̠˙nʼь1,,,*lā̠nʼь1,,,,,,,,,,,*lā̠nʼ,,,,,,,,,,,,,,,,,la̠nʼ,,,,,,,,
лебедa̠ / lʼɪbʼɪda̠,*elbedā̠˙,,,,,,,,,,*lebedā̠˙,,,,,,,,,,,,,,,,,,*lebeda̠,,,*lʼebʼeda̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lʼɪbʼɪda̠,,,,,,
лё̠д / lʼo̠t,*ledu,,,,,,,,,,,,,,,,,,,,,,,,,,,*ledъ,,,,*lʼedъ,,,*lʼedъ1,,,,,,,,,,,,,,*lʼed,,,,,*lʼe̠d,,,*lʼe̠t,,,lʼo̠t,,,,,,,,,,,,,,
лe̠то / lʼe̠tə,*lē̠˙ta,,,,,,,,,,,,,,,,,,,,,,,*lē̠˙to,,,*lě̠̄˙to,,,,,*lʼě̠̄˙to,,,,,,*lʼě̠̄to,,,,,,,,,,,,,,,,,,,,,,,,,,,,*lʼě̠to,,*lʼě̠tə,,,lʼe̠tə,,,
лицo̠ / lʼico̠,*le̠jka,*le̠jtˊa,*le̠jtˊe,*lẹ̠̄tˊe,,,*lī̠tˊe,,,,,*lītˊe̠,,*līcʼe̠,,,,,,,,,,,,,,,,,,*lʼīcʼe̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,*lʼīcʼo̠,*lʼīco̠,,,,,lʼico̠,,,,,,,,
лo̠жка / lo̠ṡkə,*lu̠džikā˙,,,,,,,,,,,*ludži̠kā˙,,,,,,,,,,,,,,,,*lъdžь̠kā˙,lъdžь̠ka,,,,,,*lъ2džь̠1ka,,*lъ̠2džь1ka,,,*lъ̠2žь1ka,,,,,,,,,*lъ̠2žka,,,,*lo̠žka,,,,*lo̠ška,*lo̠ṡka,,,,,,,,,,lo̠ṡkə,,,,,,
лo̠коть / lo̠kətʼ,*alkuti,,,,,,,,,,*lakuti,,,,,,,,,,,,,*lokuti,,,,*lokъtь,,,,*lokъtʼь,,,*lokъ2tʼь1,,,,,,,,,,,,,,*lokъ2tʼ,,,,*lokotʼ,*lo̠kotʼ,,,,,,,,,,,,,,lo̠kətʼ,,,,,,
лукa̠вый / luka̠vəj,*la̠nkā˙wuju,,*la̠nkā˙wuji,,,,,,,,,*lankā̠˙wuji,,,,,,,,,,,,*lonkā̠˙wuji,,*lǭkā̠˙wuji,,*lǭkā̠˙wъjь,,,,,*lọ̄kā̠˙wъjь,,*lọ̄kā̠˙wъ2jь1,,,*lọ̄kā̠wъ2jь1,*lūkā̠wъ2jь1,,,,,,,,,,*lūkā̠wъ2j,,,,*lūkā̠woj,,,*lūkā̠voj,,,,,,,,,,*luka̠voj,,luka̠vəj,,,,,,
лю̠т / lʼju̠t,*lja̠wtu,,*lje̠wtu,*ljọ̠̄tu,,,,,,,,*ljọ̄tu̠,,,,,,,*lˊjọ̄tu̠,,,,,,,,,*lˊjọ̄tъ̠,,,,,,,*lˊjọ̄tъ̠1,,*lˊjọ̠̄tъ1,,*lˊjū̠tъ1,,,,,,,,,,*lˊjū̠t,,,*lʼjū̠t,,,,,,,,,,,,,,lʼju̠t,,,,,,,,"Nach § 3 und nach § 11, aber vor § 36 entlehnt ist lett. l̦ùoti."
малu̠на / mʌlʼi̠nə,*mālī̠˙nā˙,,,,,,,,,,,,*mālī̠˙nā,,,,,,,,,,,,,,,,*mālī̠˙na,,,*mālʼī̠˙na,,,,,,*mālʼī̠na,,,,,,,,,,,,,,,,,,,,,,,,,,,,*malʼi̠na,,mʌlʼi̠nə,,,,,,
межa̠ / mʼɪża̠,*medjā̠˙,,*medjē̠˙,,*medjā̠˙,,,,,,,,,,,,,,*medˊjā̠˙,,,*medžjā̠˙,,,,,,,*medžja̠,*medža̠,,*mʼedža̠,,,,,,,,*mʼeža̠,,,,,,,,,,,,,,,,,,*mʼeża̠,,,,,,,,,,mʼɪża̠,,,,,,
мелю̠ / mʼɪlʼu̠,*me̠ljān,,*me̠ljēn,,*me̠ljān,,,,,,,*meljā̠n,,,,*melja̠n,,,*melˊja̠n,,,,,*melˊjo̠n,,*melˊjǭ̠,,,*melˊjǫ̠,*melˊǫ̠,,*mʼelˊǫ̠,*mʼelˊọ̠,,,,,,*mʼelˊu̠,,,,,,,,,,,,,*mʼelʼu̠,,,,,,,,,,,,,,,,mʼɪlʼu̠,,,,,vgl. молo̠ть,
мe̠ра / mʼe̠rə,*mē̠˙rā˙,,,,,,,,,,,,*mē̠˙rā,,,,,,,,,,,,,,*mě̠̄˙rā,,*mě̠̄˙ra,,,*mʼě̠̄˙ra,,,,,,*mʼě̠̄ra,,,,,,,,,,,,,,,,,,,,,,,,,,,,*mʼě̠ra,,*mʼě̠rə,,,mʼe̠rə,,,
мерё̠жа / mʼɪrʼo̠żə,*me̠r˙džjā˙,,,,,,,,,,,,*me̠r˙džjā,,,,,,,,,,*mere̠džjā,,,,,,*mere̠džja,*mere̠dža,,*mʼerʼe̠dža,,,,,,,,*mʼerʼe̠ža,,,,,,,,,,,,,,,,,,*mʼerʼe̠ża,,*mʼerʼo̠ża,,,,,,,,mʼɪrʼo̠żə,,,,,,
мe̠стный / mʼe̠snəj,*ma̠j˙stinuju,,*ma̠j˙stinuji,*mē̠˙stinuji,,,,,,,,,,,,,,,,,,,,,,,*mě̠̄˙stinuji,*mě̠̄˙stьnъjь,,,,*mʼě̠̄˙stʼьnъjь,,,*mʼě̠̄˙stʼь1nъ2jь1,,,*mʼě̠̄stʼь1nъ2jь1,,,,,,,,,,,*mʼě̠̄stʼnъ2j,,*mʼě̠̄sʼnъ2j,,*mʼě̠̄sʼnoj,,,,,,,,,*mʼě̠̄snoj,,,,*mʼě̠snoj,,*mʼě̠snəj,,,mʼe̠snəj,,,
мe̠сяц / mʼe̠sʼɪc,*mē̠˙sinku,*mē̠˙sintˊu,*mē̠˙sintˊi,,,,,,,,,,,*mē̠˙sincʼi,,,,,,,,,,,,*mē̠˙sę̄cʼi,*mě̠̄˙sę̄cʼi,*mě̠̄˙sę̄cʼь,,,,*mʼě̠̄˙sʼę̄cʼь,*mʼě̠̄˙sʼācʼь,,*mʼě̠̄˙sʼācʼь1,,,*mʼě̠̄sʼācʼь1,,,,,,,,,,,*mʼě̠̄sʼācʼ,,,,,,,,,,,,*mʼě̠̄sʼāc,,,,,*mʼě̠sʼac,,*mʼě̠sʼɪc,,,mʼe̠sʼɪc,,vgl. мe̠сячный,
мe̠сячный / mʼe̠sʼɪčnəj,*mē̠˙sińčinuju,,*mē̠˙sińčinuji,,,,,,,,,,,,,,,,,,,,,,,*mē̠˙sę̄činuji,*mě̠̄˙sę̄činuji,*mě̠̄˙sę̄čьnъjь,,,,*mʼě̠̄˙sʼę̄čьnъjь,*mʼě̠̄˙sʼāčьnъjь,,*mʼě̠̄˙sʼāčь1nъ2jь1,,,*mʼě̠̄sʼāčь1nъ2jь1,,,,,,,,,,,*mʼě̠̄sʼāčnъ2j,,,,*mʼě̠̄sʼāčnoj,,,,,,,,,,,,,*mʼě̠sʼačnoj,,*mʼě̠sʼɪčnəj,,,mʼe̠sʼɪčnəj,,vgl. мe̠ся,
мизu̠нец / mʼizʼi̠nʼɪc,*majzī̠˙niku,*majzī̠˙nitˊu,*majzī̠˙nitˊi,*mēzī̠˙nitˊi,,,,,,,,,,*mēzī̠˙nicʼi,,,,,,,,,,,,,*mě̄zī̠˙nicʼi,*mě̄zī̠˙nьcʼь,,,,*mʼě̄zʼī̠˙nʼьcʼь,,,mʼě̄zʼī̠˙nʼь2cʼь1,,,*mʼě̄zʼī̠nʼь2cʼь1,,,,,,,,,,,*mʼě̄zʼī̠nʼь2cʼ,,,,*mʼě̄zʼī̠nʼecʼ,,,,,,,,*mʼě̄zʼī̠nʼec,,,,,*mʼězʼi̠nʼec,*mʼizʼi̠nʼec,mʼizʼi̠nʼɪc,,,,,,
мu̠р / mʼi̠r,*mej˙ru,,,*mẹ̄˙ru,,,*mī˙ru,,,,,,*mīru,,,,,,,,,,,,,,,*mīrъ,,,,*mʼīrъ,,,*mʼīrъ1,,,,,,,,,,,,,,*mʼīr,,,,,*mʼī̠r,,,,,,,,,,,,mʼi̠r,,,,,,,,"Nach § 3, aber vor § 6 ins Finnische entlehnt ist kar. miero."
моё̠ / mʌjo̠,*ma̠ja,,*ma̠je,,,,,,,,,*maje̠,,,,,,,,,,,,*moje̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*mojo̠,,,,,,,,mʌjo̠,,,,,"vgl. мo̠й, моя̠, моё̠м, мои̠",
моё̠м / mʌjo̠m,*ma̠jemi,,,,,,,,,,,*maje̠mi,,,,,,,,,,,,*moje̠mi,,,,*moje̠mь,,,,*moje̠mʼь,,,*moje̠mʼь1,,,,,,,,,,,,,,*moje̠mʼ,,,,,,,,,,*moje̠m,*mojo̠m,,,,,,,,mʌjo̠m,,,,,"vgl. мo̠й, моя̠, моё̠, мои̠",
мo̠зг / mo̠sk,*mazgu,,,,,,,,,,,,,,,,,,,,,,,*mozgu,,,,*mozgъ,,,,,,,*mozgъ1,,,,,,,,,,,,,,*mozg,,,,,*mo̠zg,,,mo̠sk,,,,,,,,,,,,,,,,,
моu̠ / mʌi̠,*ma̠juj,,*ma̠jij,*ma̠jī,,,,,,,,*majī̠,,,,,,,,,,,,*mojī̠,,,,,*moji̠,,,,,,,,,,,,,,*moi̠,,,,,,,,,,,,,,,,,,,,,,,,,mʌi̠,,,,,"vgl. мo̠й, моя̠, моё̠, моё̠м",
мo̠й / mo̠j,*ma̠ju,,*ma̠ji,,,,,,,,,*maji̠,,,,,,,,,,,,*moji̠,,,,*mojь̠,,,,,,,*mojь̠1,,*mo̠jь1,,,,,,,,*mô̠jь1,,,,*mô̠j,,,,,,,,,,,,,,,,,,,,,,,mo̠j,"vgl. моя̠, моё̠, моё̠м, мои̠",
мo̠лод / mo̠lət,*maldu,,,,,,,,,,,,,,,,,,,,,,*maladu,*molodu,,,,*molodъ,,,,,,,*molodъ1,,,,,,,,,,,,,,*molod,,,,,*mo̠lod,,,*mo̠lot,,,,,,,,,,,mo̠lət,,,,,"vgl. мoлодa̠, молодo̠й, молo̠же, молодёжь",
молодa̠ / məlʌda̠,*maldā̠˙,,,,,,,,,,,,,,,,,,,,,,*maladā̠˙,*molodā̠˙,,,,,*moloda̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,məlʌda̠,,,,,"vgl. мo̠лод, молодo̠й, молo̠же, молодёжь",
молодё̠жь / məlʌdʼo̠ṡ,*malde̠džju,,*malde̠džji,,,,,,,,,*maldedžji̠,,,,,,,,,,,*maladedžji̠,*molodedžji̠,,,,*molodedžjь̠,,*molodedžь̠,,*molodʼedžь̠,,,*molodʼedžь̠1,,*molodʼe̠džь1,,,*molodʼe̠žь1,,,,,,,,,*molodʼe̠ž,,,,,,,,*molodʼe̠š,*molodʼe̠ṡ,,*molodʼo̠ṡ,,,,,,,,məlʌdʼo̠ṡ,,,,,"vgl. мo̠лод, мoлодa̠, молодo̠й, молo̠же",
молодo̠й / məlʌdo̠j,*maldu̠ju,,*maldu̠ji,,,,,,,,,*malduji̠,,,,,,,,,,,*maladuji̠,*moloduji̠,,,,*molodъjь̠,,,,,,,*molodъ2jь̠1,,*molodъ̠2jь1,,,,,,,,,,,,*molodъ̠2j,,,,*molodo̠j,,,,,,,,,,,,,,,məlʌdo̠j,,,,,"vgl. мo̠лод, мoлодa̠, молo̠же, молодёжь",
молo̠же / mʌlo̠żə,*ma̠ldja,,*ma̠ldje,,,,,,,,,*maldje̠,,,,,,,*maldˊje̠,,,*maldžje̠,*maladžje̠,*molodžje̠,,,,,,*molodžē̠,,,,,,*molo̠džē,,,,*molo̠žē,,,,,*molô̠žē,,,,,,,,,,,,,*molô̠żē,,,,,,,,*molô̠że,,*mʌlô̠żə,,,,mʌlo̠żə,"vgl. мo̠лод, мoлодa̠, молодo̠й, молодёжь",
молокo̠ / məlʌko̠,*me̠lka,,,,,,,,,,,*melka̠,,,,,,,,*malka̠,,,*malaka̠,*moloko̠,,,,,,,,,,,,,,,,,,,,,*molokô̠,,,,,,,,,,,,,,,,,,,,,,,*məlʌkô̠,,,,məlʌko̠,vgl. молo̠чный,
молo̠тит / mʌlo̠tʼit,*ma̠ltejti,,,*ma̠ltẹ̄ti,,,ma̠ltīti,,,,,*maltī̠ti,,,,,,,,,,,*malatī̠ti,*molotī̠ti,,,,*molotī̠tь,,,,*molotʼī̠tʼь,,,*molotʼī̠tʼь1,*molo̠tʼītʼь1,,,,,,,,,*molô̠tʼītʼь1,,,,*molô̠tʼītʼ,,,,,,,,,,,,,,,,,*molô̠tʼitʼ,,*mʌlô̠tʼit,,,,mʌlo̠tʼit,,
молo̠ть / mʌlo̠tʼ,me̠l˙tēj,,,*me̠l˙tẹ̄,,,*me̠l˙tī,,,,,,,,,,,,,*ma̠l˙tī,,,*mala̠tī,*molo̠tī,,,,,*molo̠ti,,,*molo̠tʼi,,,,,,,,,,,,,*molô̠tʼi,,,,,,,,,,,,,,,,,,,,,,,*mʌlô̠tʼ,,,,mʌlo̠tʼ,vgl. мелю̠,
молo̠чный / mʌlo̠ṡnəj,*me̠lčinuju,,*me̠lčinuji,,,,,,,,,*melči̠nuji,,,,,,,,*malči̠nuji,,,*malači̠nuji,*moloči̠nuji,,,,*moločь̠nъjь,,,,,,,*moločь̠1nъ2jь1,,*molo̠čь1nъ2jь1,,,,,,,,*molô̠čь1nъ2jь1,,,,*molô̠čnъ2j,,*molô̠šnъ2j,,*molô̠šnoj,,,,,*molô̠ṡnoj,,,,,,,,,,*mʌlô̠ṡnəj,,,,mʌlo̠ṡnəj,vgl. молокo̠,
молочy̠ / məlʌču̠,*ma̠ltjān,,*ma̠ltjēn,,*ma̠ltjān,,,,,,,*maltjā̠n,,,,*maltja̠n,,,*maltˊja̠n,,,*malčja̠n,*malačja̠n,*moločjo̠n,,*moločjǭ̠,,,*moločjǫ̠,*moločǫ̠,,,*moločọ̠,,,,,,*moloču̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,məlʌču̠,,,,,vgl. молo̠тит,
мo̠чь / mo̠č,*makti,,,,,,,,,,,,,,*makˊtˊi,,*matˊi,,,,,*mači,,*moči,,,,*močь,,,,,,,*močь1,,,,,,,,,,,,,,*moč,,,,,mo̠č,,,,,,,,,,,,,,,,,,,,
моя̠ / mʌja̠,*ma̠jā˙,,*ma̠jē˙,,*ma̠jā˙,,,,,,,*majā̠˙,,,,,,,,,,,,*mojā̠˙,,,,,*moja̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mʌja̠,,,,,"vgl. мo̠й, моё̠, моё̠м, мои̠",
мy̠ка / mu̠kə,*ma̠n˙kā˙,,,,,,,,,,,,*ma̠n˙kā,,,,,,,,,,,*mo̠n˙kā,,*mǭ̠˙kā,,,*mǭ̠˙ka,,,,*mọ̠̄˙ka,,,,,*mọ̠̄ka,*mū̠ka,,,,,,,,,,,,,,,,,,,,,,,,,,,*mu̠ka,,mu̠kə,,,,,,Nach § 32 entlehnt ist lett. muõka
мя̠л (1) / mʼa̠l,*mi̠n˙lu,,,,,,,,,,,,,,,,,,,,,,,,,*mę̠̄˙lu,,*mę̠̄˙lъ,,,,*mʼę̠̄˙lъ,*mʼā̠˙lъ,,*mʼā̠˙lъ1,,,*mʼā̠lъ1,,,,,,,,,,,*mʼā̠l,,,,,,,,,,,,,,,,,mʼa̠l,,,,,,,,
мя̠л (2) / mʼa̠l,*me̠n˙lu,,,,,,,,,,,,,,,,,,,,,,,,,*mę̠̄˙lu,,*mę̠̄˙lъ,,,,*mʼę̠̄˙lъ,*mʼā̠˙lъ,,*mʼā̠˙lъ1,,,*mʼā̠lъ1,,,,,,,,,,,*mʼā̠l,,,,,,,,,,,,,,,,,mʼa̠l,,,,,,,,
мя̠со / mʼa̠sə,*mensa,,,,,,,,,,,,,,,,,,,,,,,*menso,,*mę̄so,,,,,,*mʼę̄so,*mʼāso,,,,,,,,,,,,,,,,,,,,,*mʼā̠so,,,,,,,,,,,,*mʼa̠so,,mʼa̠sə,,,,,,
нa̠ново / na̠nəvə,*nā nawa,,,,,,,,,,,,,,,,,,,,,,,*nā nowo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*nā̠ nowo,,*nā̠ novo,,,,,,,,,,*na̠ novo,,*na̠ nəvə,,,,,,
нё̠бо / nʼo̠bə,*neba,,,,,,,,,,,,,,,,,,,,,,,*nebo,,,,,,,,*nʼebo,,,,,,,,,,,,,,,,,,,,,,*nʼe̠bo,,,,,,*nʼo̠bo,,,,,,,,nʼo̠bə,,,,,,
нa̠голову / na̠gələvu,*nā gal˙wān,,,,,,,,,,,,*nā galwān,,,*nā galwan,,,,,,,*nā galawan,*nā golowon,,*nā golowǭ,,,*nā golowǫ,,,,*nā golowọ,,,,,,*nā golowu,,,,,,,,,,,,,,,*nā̠ golowu,,*nā̠ golovu,,,,,,,,,,*na̠ golovu,,*na̠ gələvu,,,,,"vgl. головa̠, гo̠лову",
-ник / -nʼik,*-inej˙ku,,,*-inẹ̄˙ku,,,*-inī˙ku,,,,,,,,,,,,,,,,,,,,,*-ьnī˙kъ,,,,*-ьnʼī˙kъ,,,*-ь1nʼī˙kъ1,,,*-ь1nʼīkъ1,,,,,,,,,,,*-nʼīk,,,,,,,,,,,,,,,,,-nʼik,,,,,,,,Nach § 3 aber vor § 6 entlehnt ist finn. -niekka.
нo̠готь / no̠gətʼ,*naguti,,,,,,,,,,,,,,,,,,,,,,,*noguti,,,,*nogъtь,,,,*nogъtʼь,,,*nogъ2tʼь1,,,,,,,,,,,,,,*nogъ2tʼ,,,,*nogotʼ,*no̠gotʼ,,,,,,,,,,,,,,no̠gətʼ,,,,,,
нoрu̠ца / nʌrʼi̠cə,*na̠rī˙kā˙,*na̠rī˙tˊā˙,*na̠rī˙tˊē˙,,*na̠rī˙tˊā˙,,,,,,,*narī̠˙tˊā˙,*narī̠˙tˊā,*narī̠˙cʼā,,,,,,,,,,*norī̠˙cʼā,,,,,*norī̠˙cʼa,,,*norʼī̠˙cʼa,,,,,,*norʼī̠cʼa,,,,,,,,,,,,,,,,,,,,,,,*norʼī̠ca,,,,,*norʼi̠ca,,nʌrʼi̠cə,,,,,,"Nach § 1 und möglicherweise auch § 13, aber vor § 23 entlehnt ist est. narits."
нo̠сит / no̠sʼit,*na̠sejti,,,*na̠sẹ̄jti,,,*na̠sīti,,,,,*nasī̠ti,,,,,,,,,,,,*nosī̠ti,,,,*nosī̠tь,,,,*nosʼī̠tʼь,,,*nosʼī̠tʼь1,*no̠sʼītʼь1,,,,,,,,,*nô̠sʼītʼь1,,,,*nô̠sʼītʼ,,,,,,,,,,,,,,,,,*nô̠sʼit,,,,,,no̠sʼit,,
нo̠чь / no̠č,*nakti,,,,,,,,,,,,,,*nakˊtˊi,,*natˊi,,,,,*nači,,*noči,,,,*nočь,,,,,,,*nočь1,,,,,,,,,,,,,,*noč,,,,,no̠č,,,,,,,,,,,,,,,,,,,,
нo̠ет / no̠jɪt,*nū̠˙jeti,,,,,,,,,,,,,,,,,*nȳ̠˙jeti,,,,,,,,,,*nȳ̠˙jetь,,,,*nȳ̠˙jetʼь,,,*nȳ̠jetʼь1,,,,,,*nъ̠2jetʼь1,,,,,,,,*nъ̠2jetʼ,,,,*no̠jetʼ,,,,,,,,,,,,,,,no̠jɪt,,,,,vgl. ны̠ть,
ны̠ть / ny̠tʼ,*nū̠˙tēj,,,*nū̠˙tẹ̄,,,*nū̠˙tī,,,,,,,,,,,*nȳ̠˙tī,,,,,,,,,,,*nȳ̠˙ti,,,*nȳ̠˙tʼi,,,,,,*nȳ̠tʼi,,,,,,,,,,,,,,,,,,,,,,,,,,,,ny̠tʼ,,,,,,,vgl. нo̠ет,
