Ru.,PSl.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,cf,loanwords
верещa̠ть / vʼɪrʼɪšša̠tʼ,*werščē̠˙tēj,,,*werščē̠˙tẹ̄,*werščā̠˙tẹ̄,,*werščā̠˙tī,,,,,,,,,,,,,,,,*wereščā̠˙tī,,,,,,*wereščā̠˙ti,,,*wʼerʼeščā̠˙tʼi,,,,,,*wʼerʼeščā̠tʼi,,,,,,,,,,,,,,,,,,*vʼerʼeščā̠tʼ,,,,,,,,,,*vʼerʼešča̠tʼ,,*vʼɪrʼɪšča̠tʼ,,vʼɪrʼɪšša̠tʼ,,,vgl. вe̠реск,
вe̠рный / vʼe̠rnəj,*wē̠˙rinuju,,*wē̠˙rinuji,,,,,,,,,,,,,,,,,,,,,,,,*wě̠̄˙rinuji,*wě̠̄˙rьnъjь,,,,*wʼě̠̄˙rʼьnъjь,,,*wʼě̠̄˙rʼь1nъ2jь1,,,*wʼě̠̄rʼь1nъ2jь1,,,,,,,,,,,*wʼě̠̄rʼnъ2j,,,,*wʼě̠̄rʼnoj,,,*vʼě̠̄rʼnoj,,,,,,*vʼě̠̄rnoj,,,,*vʼě̠rnoj,,*vʼě̠rnəj,,,vʼe̠rnəj,,vgl. вe̠ра,
вe̠сел / vʼe̠sʼɪl,*weselu,,,,,,,,,,,,,,,,,,,,,,,,,,,*weselъ,,,,*wʼesʼelъ,,,*wʼesʼelъ1,,,,,,,,,,,,,,*wʼesʼel,,,,,*wʼe̠sʼel,,*vʼe̠sʼel,,,,,,,,,,,,vʼe̠sʼɪl,,,,,,
вe̠тер / vʼe̠tʼɪr,*wē̠˙tru,,,,,,,,,,,,,,,,,,,,,,,,,,*wě̠̄˙tru,*wě̠̄˙trъ,,,*wě̠̄˙tьrъ,*wʼě̠̄˙tʼьrъ,,,*wʼě̠̄˙tʼь2rъ1,,,*wʼě̠̄tʼь2rъ1,,,,,,,,,,,*wʼě̠̄tʼь2r,,,,*wʼě̠̄tʼer,,,*vʼě̠̄tʼer,,,,,,,,,,*vʼě̠tʼer,,*vʼě̠tʼɪr,,,vʼe̠tʼɪr,,,
вe̠рх / vʼe̠rx,*wi̠rxu,,,,,,,,,,,*wirxu̠,,,,,,,,,,,,,,,,*wьrxъ̠,,,,*wʼьrxъ̠,,,*wʼь2rxъ̠1,,*wʼь̠2rxъ1,,,,,,,,,,,*wʼь̠2rʼxъ1,*wʼь̠2rʼx,,,,*wʼe̠rʼx,,,vʼe̠rx,,,,,,,,,,,,,,,,,,
взя̠л / vzʼa̠l,*uzimlu,,,,,*wuzimlu,,,,,,,,,,,,,,,,,,,,*wuzę̄lu,,*wъzę̄lъ,,,,*wъzʼę̄lъ,*wъzʼālъ,,*wъ1zʼālъ1,,,,,,,,,,,,,,*wzʼāl,,,,,*wzʼā̠l,,*vzʼā̠l,,,,,,,,,,vzʼa̠l,,,,,,,"vgl. взялся̠, возмё̠м",
взялся̠ / vzʼɪlsʼa̠,*uzimlu̠ sēn,,,,,*wuzimlu̠ sēn,,,,,,*wuzimlu sē̠n,,,,*wuzimlu se̠n,,,,,,,,,,*wuzę̄lu sę̠̄,,*wъzę̄lъ sę̠̄,*wъzę̄lъ sę̠,,,*wъzʼę̄lъ sʼę̠,*wъzʼālъ sʼa̠,,*wъ1zʼālъ1 sʼa̠,,,,,,,,,,,,,,*wzʼāl sʼa̠,,,,,,,*vzʼāl sʼa̠,,,,,,,,,,*vzʼal sʼa̠,,vzʼɪlsʼa̠,,,,,"vgl. взя̠л, возмё̠м",
взыскa̠ть / vzyska̠tʼ,*uz e̠jskā˙tēj,,,*uz ẹ̠̄skā˙tẹ̄,,*wuz ẹ̠̄skā˙tẹ̄,*wuz ī̠skā˙tī,,,,,*wuz īskā̠˙tī,,,,,,,,,,,,,*wuz jīskā̠˙tī,,,*wъz jīskā̠˙tī,*wъz jīskā̠˙ti,,,wъz jīskā̠˙tʼi,,,*wъ1z jīskā̠˙tʼi,,,*wъ1z jīskā̠tʼi,,,,*wъ1z īskā̠tʼi,,,,,,,*wzīskā̠tʼi,,,,,,,*vzīskā̠tʼ,,,,,,,*vzȳskā̠tʼ,,,vzyska̠tʼ,,,,,,,,
вu̠хорь / vʼi̠xərʼ,*we̠j˙xuri,,,*wẹ̠̄˙xuri,,,*wī̠˙xuri,,,,,,,,,,,,,,,,,,,,,*wī̠˙xъrь,,,,*wʼī̠˙xъrʼь,,,*wʼī̠˙xъ2rʼъ1,,,*wʼī̠xъ2rʼъ1,,,,,,,,,,,*wʼī̠xъ2rʼ,,,,*wʼī̠xorʼ,,,*vʼī̠xorʼ,,,,,,,,,,*vʼi̠xorʼ,,vʼi̠xərʼ,,,,,,"Nach § 3, aber vor § 6 entlehnt ist finn. viehkuri."
влюблё̠н / vlʼublʼo̠n,*ulja̠wbjenu,,*ulje̠wbjenu,*uljọ̠̄bjenu,,*wuljọ̠̄bjenu,,,*wuljọ̠̄bljenu,,,*wuljọ̄blje̠nu,,,,,,,*wulˊjọ̄blˊje̠nu,,,,,,,,,*wъlˊjọ̄blˊje̠nъ,,*wъlˊọ̄blˊē̠nъ,,,,,*wъ1lˊọ̄blˊē̠nъ1,*wъ1lˊọ̠̄blˊēnъ1,,,*wъ1lˊū̠blˊēnъ1,,,,,,,,,,*wlˊū̠blˊēn,,,*wlʼū̠blʼēn,,,,*vlʼū̠blʼēn,,,,,,,,,,*vlʼu̠blʼen,,*vlʼu̠blʼɪn,,,,,vgl. полю̠блен,
внy̠к / vnu̠k,*una̠w˙ku,,,*unọ̠̄˙ku,,*wunọ̠̄˙ku,,,,,,,,,,,,,,,,,,,,,,*wъnọ̠̄˙kъ,,,,,,,*wъ1nọ̠̄˙kъ1,,,*wъ1nọ̠̄kъ1,*wъ1nū̠kъ1,,,,,,,,,,*wnū̠k,,,,,,,*vnū̠k,,,,,,,,,,vnu̠k,,,,,,,,
вo̠бла / vo̠blə,*a̠bulā˙,,,,,,,,,,,*abu̠lā˙,*abu̠lā,,,,,,,,,,,*obu̠lā,,,,*obъ̠lā,*obъ̠la,,,,,,*obъ̠1la,,*o̠bъ1la,,,,,,,,*ô̠bъ1la,,,,*ô̠bla,,,,,,*wô̠bla,*vô̠bla,,,,,,,,,,,,*vô̠blə,,,,vo̠blə,,
вовнe̠ / vʌvnʼe̠,*u wu̠nāj,,,*u wu̠nē,,*wu wu̠nē,,,,,,*wu wunē̠,,,,,,,,,,,,,,,*wu wuně̠̄,*wъ wъně̠̄,*wъ wъně̠,,,*wъ wъnʼě̠,,,*wъ2 wъ1nʼě̠ ,,,,,,,,,,,,,,*wъ2 wnʼě̠ ,,,,*wo wnʼě̠,,,*vo vnʼě̠,,,,,,,,,,,,*vʌ vnʼě̠,,,*vʌ vnʼe̠,,,
водa̠ / vʌda̠,*wadā̠˙,,,,,,,,,,,,,,,,,,,,,,,*wodā̠˙,,,,,*woda̠,,,,,,,,,,,,,,,,,,,,,,,,,,,*voda̠,,,,,,,,,,,,vʌda̠,,,,,vgl. вo̠ду,
вo̠ду / vo̠du,*wadān,,,,,,,,,,,,,,,*wadan,,,,,,,,*wodon,,*wodǭ,,,*wodǫ,,,,*wodọ,,,,,,*wodu,,,,,,,,,,,,,,,*wo̠du,,vo̠du,,,,,,,,,,,,,,,,,vgl. водa̠,
возмё̠м / vʌzʼmʼo̠m,*uzime̠mu,,,,,*wuzime̠mu,,,,,,*wuzimemu̠,,,,,,,,,,,,,,,,*wъzьmemъ̠,,,,*wъzʼьmʼemъ̠,,,*wъ2zʼь1mʼemъ̠1,,*wъ2zʼь1mʼe̠mъ1,,,,,,,,,,,,*wъ2zʼmʼe̠m,,,,*wozʼmʼe̠m,,,*vozʼmʼe̠m,,,,*vozʼmʼo̠m,,,,,,,,vʌzʼmʼo̠m,,,,,"vgl. взя̠л, взялся̠",
вo̠лк / vo̠lk,*wilku,,,,,,,,,,,,,,,,,,,*wulku,,,,,,,,*wъlkъ,,,,,,,*wъ2lkъ1,,,,,,,,,,,,,,*wъ2lk,,,,*wolk,*wo̠lk,,vo̠lk,,,,,,,,,,,,,,,,,,
